LLM,Question_ID,Scenario_1_Similarity,Rank
Dilaksan/nla,8,0.8722459,1
Dilaksan/nla,9,0.51535666,2
Dilaksan/nla,10,0.8411747,1
Dilaksan/nla,11,0.6250483,5
Dilaksan/nla,12,0.7016673,4
Dilaksan/nla,13,0.5464493,3
Dilaksan/nla,14,0.6295175,2
Dilaksan/nla,15,0.6394433,2
Dilaksan/nla,16,0.7490401,1
Dilaksan/nla,17,0.58450687,4
Dilaksan/nla,18,0.59660023,8
Dilaksan/nla,19,0.616686,2
Dilaksan/nla,20,0.68313086,1
Dilaksan/nla,21,0.62402594,1
Dilaksan/nla,22,0.51074743,11
Dilaksan/nla,23,0.5890858,9
Dilaksan/nla,24,0.7520906,2
Dilaksan/nla,25,0.59555805,4
Dilaksan/nla,26,0.5790269,5
Dilaksan/nla,27,0.77383226,1
Dilaksan/nla,28,0.6011254,6
Dilaksan/nla,29,0.57106924,7
Dilaksan/nla,30,0.84782124,1
Dilaksan/nla,31,0.96725905,1
Dilaksan/nla,32,0.92525,1
Dilaksan/nla,33,0.7142499,1
Dilaksan/nla,34,0.6432659,1
Dilaksan/nla,35,0.9379809,1
Dilaksan/nla,36,0.6516319,3
Dilaksan/nla,37,0.9309654,1
Dilaksan/nla,38,0.7804655,2
Dilaksan/nla,39,0.5235612,9
Dilaksan/nla,40,0.40864122,11
Dilaksan/nla,41,0.83554935,1
Dilaksan/nla,42,0.87623066,1
Dilaksan/nla,43,0.8096118,1
Dilaksan/nla,44,0.8269562,1
Dilaksan/nla,45,0.7370238,1
Dilaksan/nla,46,0.8542392,1
Dilaksan/nla,47,0.56358457,10
Dilaksan/nla,48,0.5376148,11
Dilaksan/nla,49,0.57860804,11
Dilaksan/nla,50,0.7813839,1
Dilaksan/nla,51,0.5656771,4
Dilaksan/nla,52,0.6208753,1
Dilaksan/nla,53,0.66692615,2
Dilaksan/nla,54,0.883698,1
Dilaksan/nla,55,0.742976,1
Dilaksan/nla,56,0.94955134,1
Dilaksan/nla,57,0.46556044,1
Dilaksan/nla,58,0.8505787,1
Dilaksan/nla,59,0.6994379,2
Dilaksan/nla,60,0.84996325,1
Dilaksan/nla,61,0.9242711,1
Dilaksan/nla,62,0.3929549,11
Dilaksan/nla,63,0.729376,1
Dilaksan/nla,64,0.71613395,1
Dilaksan/nla,65,0.7203149,1
Dilaksan/nla,66,0.6256573,1
Dilaksan/nla,67,0.6695525,1
Dilaksan/nla,68,0.69577086,1
Dilaksan/nla,69,0.5954884,1
Dilaksan/nla,70,0.88216317,1
Dilaksan/nla,71,0.92483264,1
Dilaksan/nla,72,0.59873116,1
Dilaksan/nla,73,0.49081767,4
Dilaksan/nla,74,0.92821455,1
Dilaksan/nla,75,0.5463009,3
Dilaksan/nla,76,0.5361979,11
Dilaksan/nla,77,0.5817121,3
Dilaksan/nla,78,0.6638359,1
Dilaksan/nla,79,0.5942483,2
Dilaksan/nla,80,0.5816479,5
Dilaksan/nla,81,0.6968704,1
Dilaksan/nla,82,0.7069941,3
Dilaksan/nla,83,0.7622407,2
Dilaksan/nla,84,0.56000495,6
Dilaksan/nla,85,0.9905302,1
Dilaksan/nla,86,0.48974848,9
Dilaksan/nla,87,0.43989158,11
Dilaksan/nla,88,0.6705966,3
Dilaksan/nla,89,0.44389376,11
Dilaksan/nla,90,0.94111514,1
Dilaksan/nla,91,0.6259105,5
Dilaksan/nla,92,0.59828925,6
Dilaksan/nla,93,0.51671755,11
Dilaksan/nla,94,0.4099025,11
Dilaksan/nla,95,0.4863469,11
Dilaksan/nla,96,0.49737245,7
Dilaksan/nla,97,0.390414,11
Dilaksan/nla,98,0.35665214,11
Dilaksan/nla,99,0.6283953,2
Dilaksan/nla,100,0.67055416,1
